,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,SR_QA_AEROSOL,ST_B10,ST_ATRAN,ST_CDIST,ST_DRAD,ST_EMIS,ST_EMSD,ST_QA,ST_TRAD,ST_URAD,QA_PIXEL,QA_RADSAT,date,longitude,latitude,cosVZA,cosSZA,cosRAA,partition,ID,PLOT_ID,Date
0,0.015187499999999993,0.018845,0.044007500000000005,0.03001000000000001,0.2752275,0.14900249999999998,0.061744999999999994,96.0,45346.0,7070.0,671.0,1143.0,9851.0,87.0,225.0,9545.0,2433.0,21824.0,0.0,1662742872619.0,-95.19093316064819,39.03982354919863,0.9996,0.7868,0.0,5.0,0,UKFS_047,9/9/2022
1,0.01540749999999999,0.019119999999999998,0.0414225,0.028249999999999997,0.2769325,0.14595000000000002,0.059902500000000025,96.0,45379.0,7073.0,673.0,1142.0,9853.0,87.0,225.0,9558.0,2430.0,21824.0,0.0,1662742872619.0,-95.19058676690443,39.03983005828359,0.9996,0.7868,0.0,5.0,0,UKFS_047,9/9/2022
2,0.014169999999999988,0.018570000000000003,0.04408999999999999,0.030120000000000008,0.269535,0.14911249999999998,0.0627625,66.0,45374.0,7073.0,674.0,1142.0,9854.0,39.0,220.0,9557.0,2431.0,21824.0,0.0,1662742872619.0,-95.19094150777471,39.04009368995013,0.9996,0.7868,0.0,5.0,0,UKFS_047,9/9/2022
3,0.015297499999999992,0.019037499999999985,0.04274249999999999,0.02855250000000001,0.2790225,0.146885,0.06036999999999998,96.0,45405.0,7076.0,676.0,1141.0,9856.0,39.0,220.0,9569.0,2428.0,21824.0,0.0,1662742872619.0,-95.19059511271381,39.040100199097424,0.9996,0.7868,0.0,5.0,0,UKFS_047,9/9/2022
4,0.01686499999999999,0.020137500000000003,0.042825,0.028799999999999992,0.2834225,0.15156000000000003,0.06257000000000001,96.0,45438.0,7077.0,678.0,1141.0,9857.0,39.0,220.0,9581.0,2426.0,21824.0,0.0,1662742872619.0,-95.19024871754084,39.04010670721691,0.9996,0.7868,0.0,5.0,0,UKFS_047,9/9/2022
5,0.014197500000000002,0.019339999999999996,0.04441999999999999,0.030615000000000003,0.2873825,0.1615975,0.06727250000000001,96.0,45405.0,7074.0,676.0,1142.0,9856.0,39.0,220.0,9569.0,2429.0,21824.0,0.0,1662742872619.0,-95.19094985501333,39.04036383068759,0.9996,0.7868,0.0,5.0,0,UKFS_047,9/9/2022
6,0.016012499999999985,0.018405000000000005,0.043594999999999995,0.029047500000000004,0.28680500000000003,0.14977249999999998,0.06078250000000002,96.0,45427.0,7076.0,678.0,1141.0,9857.0,39.0,220.0,9577.0,2428.0,21824.0,0.0,1662742872619.0,-95.19060345863528,39.0403703398972,0.9996,0.7868,0.0,5.0,0,UKFS_047,9/9/2022
0,0.019862500000000005,0.021952499999999986,0.04642750000000001,0.02918499999999999,0.32915500000000003,0.1734775,0.06908750000000002,96.0,45387.0,7051.0,670.0,1151.0,9860.0,70.0,223.0,9564.0,2452.0,21824.0,0.0,1662742872619.0,-95.18951421868913,39.038769015228205,0.9996,0.7868,0.0,5.0,1,UKFS_053,9/9/2022
1,0.022062499999999985,0.023107500000000003,0.046564999999999995,0.029872499999999996,0.3302825,0.1784825,0.07321250000000001,96.0,45391.0,7047.0,672.0,1153.0,9860.0,70.0,223.0,9565.0,2456.0,21824.0,0.0,1662742872619.0,-95.18916782976554,39.03877551995286,0.9996,0.7868,0.0,5.0,1,UKFS_053,9/9/2022
2,0.019862500000000005,0.022639999999999993,0.0502225,0.03231999999999999,0.3325375,0.17787750000000002,0.07312999999999997,96.0,45387.0,7058.0,672.0,1148.0,9857.0,96.0,227.0,9563.0,2445.0,21824.0,0.0,1662742872619.0,-95.189522560099,39.03903915628516,0.9996,0.7868,0.0,5.0,1,UKFS_053,9/9/2022
3,0.019449999999999995,0.021897499999999986,0.04585,0.02912999999999999,0.33979750000000003,0.17284500000000003,0.0691425,96.0,45382.0,7052.0,674.0,1151.0,9860.0,96.0,227.0,9563.0,2450.0,21824.0,0.0,1662742872619.0,-95.18917616985831,39.0390456610721,0.9996,0.7868,0.0,5.0,1,UKFS_053,9/9/2022
4,0.019587500000000008,0.021375000000000005,0.042137499999999994,0.0262975,0.33575499999999997,0.16456749999999998,0.06411,96.0,45368.0,7048.0,676.0,1152.0,9861.0,122.0,232.0,9559.0,2454.0,21824.0,0.0,1662742872619.0,-95.18882977950564,39.03905216483128,0.9996,0.7868,0.0,5.0,1,UKFS_053,9/9/2022
5,0.018267499999999992,0.021925,0.050112500000000004,0.031164999999999998,0.3367725,0.17452250000000002,0.07136999999999999,96.0,45386.0,7063.0,675.0,1146.0,9858.0,96.0,227.0,9563.0,2440.0,21824.0,0.0,1662742872619.0,-95.18953090162087,39.03930929732807,0.9996,0.7868,0.0,5.0,1,UKFS_053,9/9/2022
6,0.018212499999999993,0.020659999999999984,0.044749999999999984,0.02792,0.3298975,0.16124,0.0632025,96.0,45380.0,7056.0,676.0,1149.0,9859.0,96.0,227.0,9562.0,2446.0,21824.0,0.0,1662742872619.0,-95.18918451006313,39.03931580217729,0.9996,0.7868,0.0,5.0,1,UKFS_053,9/9/2022
0,0.008890000000000009,0.012520000000000003,0.032704999999999984,0.020384999999999986,0.19201250000000003,0.085945,0.039112499999999994,96.0,45519.0,7076.0,687.0,1141.0,9848.0,124.0,232.0,9604.0,2427.0,21824.0,0.0,1662742872619.0,-95.193458197279,39.04301963967769,0.9996,0.7868,0.0,1.0,2,UKFS_051,9/9/2022
1,0.009137499999999993,0.012465000000000004,0.033172499999999994,0.0203025,0.248965,0.0982925,0.0398,96.0,45491.0,7077.0,689.0,1140.0,9858.0,124.0,231.0,9601.0,2426.0,21824.0,0.0,1662742872619.0,-95.19311178851369,39.04302615670592,0.9996,0.7868,0.0,1.0,2,UKFS_051,9/9/2022
2,0.008587499999999998,0.012740000000000001,0.03419,0.020962499999999995,0.1983375,0.09105999999999997,0.0416975,96.0,45551.0,7077.0,689.0,1140.0,9848.0,124.0,231.0,9615.0,2426.0,21824.0,0.0,1662742872619.0,-95.19346655497225,39.04328977982397,0.9996,0.7868,0.0,1.0,2,UKFS_051,9/9/2022
3,0.009385000000000004,0.013482500000000008,0.03460250000000001,0.02162249999999999,0.28567750000000003,0.10918250000000002,0.04425499999999999,66.0,45511.0,7077.0,691.0,1140.0,9862.0,124.0,231.0,9610.0,2426.0,21824.0,0.0,1662742872619.0,-95.19312014488959,39.04329629691462,0.9996,0.7868,0.0,1.0,2,UKFS_051,9/9/2022
4,0.009495000000000003,0.013069999999999998,0.0352075,0.021842499999999987,0.255785,0.10943000000000003,0.04681250000000001,96.0,45512.0,7079.0,693.0,1140.0,9854.0,79.0,223.0,9606.0,2425.0,21824.0,0.0,1662742872619.0,-95.1927737346947,39.04330281297735,0.9996,0.7868,0.0,1.0,2,UKFS_051,9/9/2022
