,B01,B02,B03,B04,B05,B06,B07,B08,B8A,B9,B11,B12,AOT,WVP,SCL,TCI_R,TCI_G,TCI_B,MSK_CLDPRB,MSK_SNWPRB,QA10,QA20,QA60,date,longitude,latitude,cosVZA,cosSZA,cosRAA,QC,partition
0,1,31,0.0128,0.0147,0.0422,0.1111,0.132,1487,0.152,1532,0.0903,0.0572,109,647,4,15,14,4,0,0,0,0,0,1.54498E+12,-95.19346655,39.04328978,0.9881,0.4426,-0.4955,0,5
1,1,31,0.0128,0.0147,0.0422,0.1111,0.132,1487,0.152,1532,0.0903,0.0572,109,647,4,15,14,4,0,0,0,0,0,1.54498E+12,-95.19346655,39.04328978,0.9881,0.4426,-0.4955,0,5
2,1,45,0.0141,0.0159,0.0439,0.1099,0.1309,1481,0.1505,1532,0.095,0.0608,109,645,4,17,15,6,0,0,0,0,0,1.54498E+12,-95.19277373,39.04330281,0.9881,0.4426,-0.4955,0,5
3,24,29,0.0188,0.016,0.0487,0.1341,0.1536,1653,0.1717,1775,0.099,0.0579,109,1231,4,17,20,5,0,0,0,0,0,1.54515E+12,-95.19346655,39.04328978,0.9924,0.4332,0.521,0,5
4,24,29,0.0188,0.016,0.0487,0.1341,0.1536,1653,0.1717,1775,0.099,0.0579,109,1231,4,17,20,5,0,0,0,0,0,1.54515E+12,-95.19346655,39.04328978,0.9924,0.4332,0.521,0,5
5,32,79,0.024,0.0233,0.0527,0.1284,0.1483,1604,0.17,1767,0.1162,0.0709,109,1214,4,24,25,9,0,0,0,0,0,1.54515E+12,-95.19277373,39.04330281,0.9924,0.4332,0.521,0,5
6,1,1,0.0057,0.0064,0.0374,0.1143,0.1349,1571,0.1602,1562,0.0815,0.0447,121,450,4,7,6,1,0,0,0,0,0,1.54541E+12,-95.19346655,39.04328978,0.9882,0.4392,-0.516,0,5
7,1,1,0.0057,0.0064,0.0374,0.1143,0.1349,1571,0.1602,1562,0.0815,0.0447,121,450,4,7,6,1,0,0,0,0,0,1.54541E+12,-95.19346655,39.04328978,0.9882,0.4392,-0.516,0,5
8,1,2,0.0118,0.0156,0.0412,0.1077,0.1272,1506,0.1512,1566,0.1033,0.062,121,453,4,17,13,1,0,0,0,0,0,1.54541E+12,-95.19277373,39.04330281,0.9882,0.4392,-0.516,0,5
9,1,29,0.0129,0.0147,0.0472,0.1289,0.1507,1748,0.1758,1742,0.1038,0.0604,121,424,4,16,14,4,0,0,0,0,0,1.54559E+12,-95.19346655,39.04328978,0.9923,0.4307,0.5427,0,5
10,1,29,0.0129,0.0147,0.0472,0.1289,0.1507,1748,0.1758,1742,0.1038,0.0604,121,424,4,16,14,4,0,0,0,0,0,1.54559E+12,-95.19346655,39.04328978,0.9923,0.4307,0.5427,0,5
11,2,64,0.017,0.0203,0.0501,0.1259,0.1461,1677,0.1704,1761,0.1173,0.0733,121,410,4,21,18,8,0,0,0,0,0,1.54559E+12,-95.19277373,39.04330281,0.9923,0.4307,0.5427,0,5
12,1,1,0.0043,0.0061,0.034,0.1098,0.1332,1479,0.1522,1590,0.0846,0.0544,138,940,4,7,5,1,0,0,0,0,0,1.54671E+12,-95.19346655,39.04328978,0.9881,0.4467,-0.535,0,5
13,1,1,0.0043,0.0061,0.034,0.1098,0.1332,1479,0.1522,1590,0.0846,0.0544,138,940,4,7,5,1,0,0,0,0,0,1.54671E+12,-95.19346655,39.04328978,0.9881,0.4467,-0.535,0,5
14,1,1,0.0059,0.009,0.0352,0.1058,0.1291,1449,0.1489,1555,0.0925,0.0617,138,938,4,10,7,2,0,0,0,0,0,1.54671E+12,-95.19277373,39.04330281,0.9881,0.4467,-0.535,0,5
15,1,3,0.0118,0.0099,0.0446,0.1299,0.1543,1712,0.1744,1788,0.0996,0.0558,127,544,4,10,13,3,0,0,0,0,0,1.54688E+12,-95.19346655,39.04328978,0.9923,0.4406,0.5592,0,5
